,node_1,node_2,edge
134,english_language_history,dictionary_making_history,is_a_type_of
135,character_study,psychological_thriller,is_a_genre_of
136,historical_context,dictionary_making_history,provides_context_for
137,language_evolution,english_language_history,is_described_by
138,0060850523,science_fiction,is_a
139,0060850523,complex_plots,features
140,0060850523,erotic_themes,explores
141,Futuristic narratives,science_fiction,is_a
142,erotic_themes,Exploration of human desires,is_a
143,science_fiction,complex_plots,often_has
144,Futuristic narratives,exploration_of_human_desires,can_include
145,science_fiction,erotic_themes,can_include
146,0060852577,historical_context,provides
147,0060852577,fascinating_characters,features
148,0060852577,complex_plot,delivers
149,0060852577,real_world_events,explores
150,0060852577,literary_style,showcases
151,historical_context,real_world_events,provides_context
152,fascinating_characters,literary_style,influences
153,complex_plot,literary_style,expresses
154,historical_context,fascinating_characters,introduces
155,real_world_events,historical_context,is_part_of
156,0060853972,comedy_genre,belongs_to
157,0060853972,satire,expresses
158,0060853972,religion_satire,parodies
159,0060853972,British_humor,represents
160,0060853972,apocalyptic_themes,explores
161,comedy_genre,satire,is_a
162,satire,British_humor,is_a_type
163,satire,religion_satire,is_a_type
164,British_humor,comedy_genre,is_a
165,satire,apocalyptic_themes,can_explore
166,0060872985,genetic_research,centers_around
167,0060872985,character_development,lacks
168,0060872985,compelling_narratives,fails_to_deliver
169,0060872985,author_reputation,affects
170,0060872985,complex_plots,lacks
171,compelling_narratives,character_development,enhances
172,author_reputation,compelling_narratives,influences
173,genetic_research,complex_plots,provides_material
174,character_development,author_reputation,affects
175,complex_plots,compelling_narratives,requires
176,0060887184,historical_fiction,is_a
177,0060887184,Bernard_Cornwell,is_written_by
178,0068087184,Saxon_history,depicts
179,0060887184,male_characters,features
180,0060887184,war_themes,explores
181,historical_fiction,Saxon_history,theme
182,historical_fiction,Narrative_storytelling,medium
183,Bernard_Cornwell,historical_fiction,author
184,Middle_Ages,historical_fiction,time_period
185,war_themes,historical_fiction,theme
186,0060892994,post_apocalyptic_settings,is_set_in
187,0060892994,science_fiction_genre,is_a
188,0060892994,religion_themes,explores
189,0060892994,historical_context,is_part_of
190,religion_themes,Exploration of religious beliefs,is_theme_of
191,science_fiction_genre,Futuristic worlds,is_characteristic_of
192,historical_context,Exploration of religious beliefs,provides_context_for
193,post_apocalyptic_settings,Apocalyptic landscapes,is_type_of
194,science_fiction_genre,post_apocalyptic_settings,often_features
195,0060899220,food_industry_anecdotes,provides
196,0060899220,autobiographies,is
197,0060899220,reality_vs_fantasy,explores
198,0060899220,well_written_narratives,delivers
199,0060899220,restaurant_industry,describes
200,Reality vs Ideal,Personal Growth,influences
201,Industry Insights,restaurant_industry,is_about
202,food_industry_anecdotes,Industry Insights,is_a_type
203,reality_vs_fantasy,Reality vs Ideal,is_a_specific_instance
204,well_written_narratives,autobiographies,is_a_characteristic
205,0060929871,dystopian_fiction,is_a
206,0060929871,character_development,lacks
207,0060929871,realism,deviates_from
208,0060929871,engaging_characters,lacks
209,0060929871,psychological_themes,explores
210,Exploration of Human Nature,psychological_themes,is_a_theme_of
211,realism,dystopian_fiction,is_a_style_of
212,character_development,engaging_characters,enhances
213,Futuristic Societies,Futuristic Societies,is_a_subgenre_of
214,Mental and Emotional Turmoil,dystopian_fiction,is_a_common_theme_in
215,0060930535,character_development,depicts
216,0060930535,world_building,provides
217,0060930535,historical_context,explores
218,0060930535,multi_perspective_narrative,presents
219,0060930535,social_issues,addresses
220,storytelling_techniques,character_development,enables
221,character_development,human_experience,influences
222,multi_perspective_narrative,social_issues,explores
223,world_building,historical_context,grounds
224,narrative_structure,character_development,supports
225,0060934417,multicultural_interactions,depicts
226,0060934417,hostage_situations,centers_around
227,0060934417,character_development,emphasizes
228,0060934417,social_issues,addresses
229,0060934417,music,features
230,hostage_situations,conflict_resolution,cause_and_effect
231,character_development,interpersonal_relations,influence
232,music,multicultural_interactions,facilitator
233,cultural_sensitivity,interpersonal_relations,prerequisite
234,social_issues,character_development,theme
235,0060935464,character_development,depicts
236,0060935464,social_issues,addresses
237,0060935464,historical_context,set_in
238,0060935464,complex_characters,features
239,0060935464,race_themes,explores
240,socio-cultural_analysis,historical_context,requires
241,character_development,complex_characters,facilitates
242,thematic_depth,identity_exploration,enriches
243,race_themes,social_issues,addresses
244,complex_characters,identity_exploration,reveals
245,0060936223,human_relationships,depicts
246,0060936223,artistic_careers,chronicles
247,0060936223,memoirs,is_an_example_of
248,0060936223,creative_era,describes
249,0060936223,icons,features
250,Creative Pursuits,Artistic Careers,is_type_of
251,Exploration of Identity,Personal Growth,is_aspect_of
252,Creative Era,Memoirs,is_genre_of
253,Creative Pursuits,Creative Era,occurs_during
254,Icons,Creative Pursuits,is_associated_with
255,0060987103,character_development,focuses_on
256,0060987103,complex_characters,portrays
257,0060987103,historical_context,sets_in
258,0060987103,plot_complexity,offers
259,0060987103,writing_style,showcases
260,plot_complexity,narrative_depth,influences
261,storytelling_techniques,character_development,utilizes
262,character_development,human_experience,represents
263,historical_context,writing_style,informs
264,complex_characters,character_development,requires
265,0061015725,nanotechnology,centers_around
266,0061015725,science_fiction,is_a
267,0061015725,characterization,lacks
268,0061015725,complex_plots,lacks
269,0061015725,nanotechnology,explores
270,Futuristic Imagery,Advanced Technology,causes
271,science_fiction,Futuristic Imagery,is_a
272,nanotechnology,Advanced Technology,is_a
273,Storytelling,complex_plots,requires
274,characterization,Storytelling,is_a_part_of
275,0061122416,self_help_content,is_a
276,0061122416,parables_and_musings,contains
277,0061122416,popular_culture,is_a_part_of
278,0061122416,personal_growth,focuses_on
279,0061122416,universal_language,utilizes
280,parables_and_musings,Stories and Reflections,is_a
281,self_help_content,Personal Development,is_a
282,self_help_content,personal_growth,is_a
283,personal_growth,universal_language,expresses
284,popular_culture,Wisdom and Insight,provides_source
285,0061147931,horror_genre,is_a
286,0061147931,character_development,features
287,0061147931,Stephen_King_style,evokes
288,0061147931,unpredictable_plots,offers
289,0061147931,well_written_prose,showcases
290,horror_genre,unpredictable_plots,characteristic_of
291,genre_with_depth,complex_storytelling,consists_of
292,Stephen_King_style,psychological_exploration,represented_by
293,character_development,well_written_prose,accompanied_by
294,genre_with_depth,horror_genre,includes
295,0061148520,complex_characters,features
296,0061148520,human_relationships,explores
297,0061148520,philosophical_themes,delves_into
298,0061148520,historical_context,set_against
299,0061148520,engaging_writing_style,showcases
300,engaging_writing_style,intellectual_pursuits,enhances
301,complex_characters,exploration_of_depth,requires
302,historical_context,intellectual_pursuits,provides
303,philosophical_themes,intellectual_pursuits,explores
304,intricacy_of_interactions,human_relationships,depicts
305,0061214671,faerie_worlds,depicts
306,0061214671,character_development,features
307,0061214671,paranormal_romance,explores
308,0061214671,darker_aspects_of_human_nature,addresses
309,0061214671,historical_context,integrates
310,"Fantasy exploration of human nature through intricate character development, paranormal romance, and historical context",character_development,is_a_part_of
311,"Fantasy exploration of human nature through intricate character development, paranormal romance, and historical context","Exploration of human nature through intricate character development, paranormal romance, and historical context in fantasy settings",is_a
312,"Exploration of human nature through intricate character development, paranormal romance, and historical context in fantasy settings",historical_context,is_associated_with
313,"Fantasy worlds with intricate character development and paranormal romance elements, exploring the darker aspects of human nature set against historical context.",darker_aspects_of_human_nature,explores
314,faerie_worlds,"Fantasy worlds with intricate character development and paranormal romance elements, exploring the darker aspects of human nature set against historical context.",is_a_type_of
315,0061245089,strong_female_protagonists,features
316,0061245089,revenge_plots,contains
317,0061245089,paranormal_romance,is_a
318,0061245089,character_development,presents
319,0061245089,action_scenes,includes
320,revenge_plots,action_scenes,contains
321,revenge_plots,revenge_and_transformation,is_a
322,character_development,female_empowerment_and_agency,facilitates
323,supernatural_elements_and_romance,paranormal_romance,is_a
324,strong_female_protagonists,female_empowerment_and_agency,represents
325,0061257095,character_development,depicts
326,0061257095,historical_context,set_in
327,0061257095,romantic_love_story,is_a
328,0061257095,detailed_descriptions,provides
329,0061257095,Italy,set_in
330,detailed_descriptions,romantic_love_story,is_a_part_of
331,romantic_love_story,character_development,features
332,character_development,Italy,takes_place_in
333,Italy,historical_context,is_set_in
334,historical_context,detailed_descriptions,enriches
335,0061257109,compelling_narratives,is_a
336,0061257109,plot_complexity,lacks
337,0061257109,character_development,features
338,0061257109,historical_fiction,is_a
339,0061257109,unnecessary_detail,contains
340,compelling_narratives,plot_complexity,influences
341,historical_fiction,historical_context,set_in
342,character_development,human_experience,represents
343,historical_context,narrative_structure,informs
344,unnecessary_detail,plot_complexity,obstructs
345,0061340634,character_development,depicts
346,0061340634,family_relationships,explores
347,0061340634,psychological_insight,provides
348,0061340634,contemporary_setting,is_set_in
349,0061340634,important_themes,addresses
350,human_emotions,character_development,influences
351,important_themes,psychological_insight,explores
352,family_relationships,inner_struggles,rooted_in
353,character_development,inner_struggles,driven_by
354,contemporary_setting,interpersonal_connections,shapes
355,0065318315,character_development,offers
356,0061350966,historical_context,provides
357,0061350966,complex_characters,features
358,0061350966,plot_development,presents
359,0061350966,religious_themes,explores
360,religious_themes,symbolism,represented_by
361,plot_development,character_development,intertwined_with
362,human_experience,complex_characters,reflected_in
363,historical_context,narrative_structure,influenced_by
364,symbolism,character_development,used_to_reveal
365,0061537934,character_driven_narratives,is_an_example_of
366,0061537934,philosophical_content,delves_into
367,0061537934,canine_narrator,features
368,0061537934,empathetic_themes,explores
369,0061537934,creative_writing,showcases
370,canine_narrator,character_driven_narratives,is_a_type_of
371,narrative_depth,character_driven_narratives,enhances
372,character_driven_narratives,empathetic_themes,often_includes
373,empathetic_themes,philosophical_content,can_contribute_to
374,animal_perspective,creative_writing,provides_unique_insight_for
375,0061537969,canine_perspective,presented_from
376,0061537969,philosophical_content,contains
377,0061537969,character_development,features
378,0061537969,racing_culture,explores
379,0061537969,emotional_storytelling,delivers
380,emotional_storytelling,character_development,enhances
381,philosophical_content,racing_culture,explores
382,canine_perspective,emotional_storytelling,provides_unique_angle
383,character_development,philosophical_content,deepens
384,racing_culture,canine_perspective,offers_new_insight
385,0061558230,horror_genre,is_a
386,0061558230,character_development,features
387,0061558230,vampire_mythology,explores
388,0061558230,modern_settings,is_set_in
389,0061558230,sci_fi_elements,integrates
390,Modern Reinterpretations,vampire_mythology,is_a_modern_interpretation_of
391,sci_fi_elements,Supernatural Creatures,belongs_to_category
392,character_development,Modern Settings,occurs_in
393,horror_genre,Fear and the Unknown,evokes_feeling_of
394,Supernatural Creatures,vampire_mythology,is_an_example_of
395,0061558265,apocalyptic_themes,explores
396,0061558265,character_development,emphasizes
397,0061558265,horror_genre,belongs_to
398,0061558265,complex_plots,features
399,0061558265,vampire_lore,draws_from
400,vampire_lore,horror_genre,is_a_part_of
401,character_development,complex_plots,is_a_feature_of
402,apocalyptic_themes,horror_genre,is_often_associated_with
403,vampire_lore,character_development,can_influence
404,horror_genre,apocalyptic_themes,can_explore
405,00601577073,character_development,lacks
406,00601577073,documentary_style,adopts
407,00601577073,complex_characters,lacks
408,00601577073,historical_context,provides
409,00601577073,authenticity,questions
410,documentary_style,realism,supports
411,character_development,complex_characters,enhances
412,exploration_of_human_condition,historical_context,provides_context
413,authenticity,historical_context,requires
414,narrative_structure,complex_characters,accommodates
415,00621624764,complex_plots,features
416,00621624764,historical_context,explores
417,00621624764,unreliable_narrators,includes
418,00621624764,character_development,prioritizes
419,00621624764,historical_fiction,is_a_genre_of
420,historical_fiction,historical_context,setting
421,unreliable_narrators,character_development,technique
422,character_development,human_experience,exploration
423,historical_fiction,complex_plots,device
424,storytelling_techniques,narrative_structure,expression
425,00661668036,fantasy_genre,is_a
426,00661668036,character_development,features
427,00661668036,romance_element,includes
428,00661668036,fantasy_genre,belongs_to
429,00661668036,young_adult_fiction,is_a
430,fantasy_genre,Magic and Imagination,contains_element
431,Love and Relationships,romance_element,is_a_subtype_of
432,character_development,Exploration of Identity and Self-Discovery,is_a_specific_type_of
433,young_adult_fiction,Love and Relationships,often_features
434,romance_element,Love and Relationships,is_a_component_of
435,0061689246,fantasy_genre,belongs_to
436,0061689246,character_development,features
437,0061689246,whimsical_narrative,delivers
438,0061689246,fairy_tales,draws_inspiration_from
439,0061689246,absorbing_plots,offers
440,fantasy_genre,imaginative_storytelling,is_characterized_by
441,whimsical_narrative,escapism,provides
442,mythological_elements,fantasy_genre,is_common_in
443,character_development,fantasy_genre,is_important_aspect_of
444,absorbing_plots,fantasy_genre,is_important_aspect_of
445,0061689378,supernatural_elements,features
446,0061689378,mystery_plots,centers_around
447,0061689378,fairies_mythology,draws_from
448,0061689378,complex_plots,delivers
449,0061689378,suspenseful_stories,provides
450,suspenseful_stories,mystery_plots,is_a_type_of
451,supernatural_elements,Magical_Elements,is_a_type_of
452,Folklore_and_Mythology,fairies_mythology,is_a_part_of
453,Storytelling_Techniques,complex_plots,is_used_to_create
454,suspenseful_stories,supernatural_elements,often_includes
455,0061692042,coming_of_age_story,is_a
456,0061692042,social_issues,addresses
457,0061692042,historical_context,set_in
458,0061692042,character_development,focuses_on
459,0061692042,character_driven_stories,is_an_example_of
460,character_driven_stories,character_development,causes
461,coming_of_age_story,personal_growth,represents
462,Historical Context,coming_of_age_story,sets
463,Historical Context,social_issues,provides_background
464,social_issues,exploration_of_social_issues,is_about
465,0061706558,psychological_thriller,is
466,0061706558,complex_human_relationships,explores
467,0061706558,character_development,features
468,0061706558,compelling_subjects,deals_with
469,0061706558,emotionally_engaging_novels,is_an_example_of
470,complex_human_relationships,intricate_interactions,causes
471,emotionally_engaging_novels,character_development,contains
472,character_development,human_emotion,expresses
473,compelling_subjects,psychological_thriller,is_a
474,thought-provoking_narratives,emotionally_engaging_novels,provides
475,0061706876,complex_characters,features
476,0061706876,protagonist_complexity,offers
477,0061706876,societal_commentary,provides
478,0061706876,mystery_novels,is_a
479,0061706876,character_development,showcases
480,mystery_novels,story_complexity,has_property
481,societal_commentary,mystery_novels,expresses
482,character_development,complex_characters,is_feature_of
483,human_condition,mystery_novels,explores
484,protagonist_complexity,character_depth,is_aspect_of
485,00621726826,dystopian_worlds,set_in
486,00621726826,character_development,features
487,00621726826,government_control,explores
488,00621726826,romance,includes
489,00621726826,writing_style,showcases
490,romance,human_emotions,is_a_manifestation_of
491,character_development,writing_style,influences
492,dystopian_worlds,government_control,is_characterized_by
493,futuristic_societies,social_commentary,often_explores
494,human_emotions,character_development,drives
495,0062311235,dystopian_genre,belongs_to
496,0062311235,character_development,features
497,0062311235,complex_plots,has
498,0062311235,strong_female_protagonists,introduces
499,0062311235,emotional_connection,encourages
500,Exploration of Human Nature,character_development,is_aspect_of
501,Futuristic Settings,dystopian_genre,is_a_type_of
502,Powerful Storytelling,complex_plots,requires
503,strong_female_protagonists,character_development,is_characteristic_of
504,Emotional Connection,character_development,facilitates
505,0061768065,historical_context,set_in
506,0061768065,character_development,focuses_on
507,0061768065,tragedy,explores
508,0061768065,dogs,features_prominently
509,character_development,tragedy,causes
510,tragedy,historical_context,set_in
511,character_development,historical_context,influenced_by
512,character_development,dogs,accompanies
513,tragedy,dogs,may_feature
514,0061779741,art_history,set_in
515,0061779741,comedy_d_art_genre,belongs_to
516,0061779741,historical_context,explores
517,0061779741,artists,focuses_on
518,0061779741,mystery_and_suspense,contains
519,artists,artistic_expression,creates
520,visual_narrative,mystery_and_suspense,conveys
521,art_history,historical_context,is_part_of
522,human_emotion,comedy_d_art_genre,evokes
523,artists,art_history,is_a_part_of
524,0063163552,character_development,lacks
525,0061836923,compelling_subjects,lacks
526,0061836923,complex_characters,missing
527,0061836923,engaging_dialogue,lacks
528,0061836923,satisfying_narrative,lacks
529,engaging_dialogue,human_connection,facilitates
530,character_development,complex_characters,is_a_part_of
531,deep_storytelling,compelling_subjects,requires
532,psychological_exploration,complex_characters,is_a_component_of
533,satisfying_narrative,engaging_dialogue,enhances
534,00621928127,historical_context,explores
535,00621928127,love_stories,tells
536,00621928127,non_linear_storytelling,utilizes
537,00621928127,character_development,emphasizes
538,00621928127,engaging_storyline,offers
539,love_stories,character_development,enhances
540,engaging_storyline,emotional_connections,facilitates
541,historical_context,storytelling_techniques,informs
542,non_linear_storytelling,narrative_structure,challenges
543,emotional_connections,engaging_storyline,enhances
544,0061929379,historical_context,set_in
545,0061929379,adventure_stories,is_a
546,0061929379,simple_plots,has
547,0061929379,posthumous_publication,is_a
548,0061929379,michael_crichton_style,represents
549,posthumous_publication,michael_crichton_style,authored_in
550,simple_plots,adventure_stories,is_a
551,michael_crichton_style,historical_context,set_in
552,posthumous_publication,historical_context,published_during
553,adventure_stories,michael_crichton_style,written_in
554,0061935085,paranormal_romance,is_a
555,0061935085,draki_mythology,features
556,0061935085,forbidden_love,explores
557,0061935085,character_development,prioritizes
558,0061935085,fantasy_genre,belongs_to
559,fantasy_genre,paranormal_romance,is_a
560,Supernatural Love,forbidden_love,is_a
561,character_development,Mythological Creatures,affects
562,Mythological Creatures,draki_mythology,is_a
563,Prohibited Relationships,forbidden_love,is_a
564,0061941026,family_drama,depicts
565,0061941026,character_development,focuses_on
566,0061941026,psychological_themes,explores
567,0061941026,complex_characters,features
568,0061941026,nuanced_writing,showcases
569,nuanced_writing,character_development,facilitates
570,psychological_themes,exploration_of_human_complexity,explores
571,complex_characters,emotional_depth,reveals
572,family_drama,intricately_woven_plots,is_a_component_of
573,exploration_of_human_complexity,psychological_themes,explores
574,0061944890,ghosts,features
575,0061944890,character_development,presents
576,0061944890,horror_genre,represents
577,0061944890,surprising_twists,includes
578,0061944890,writing_quality,showcases
579,surprising_twists,horror_genre,enhances
580,character_development,writing_quality,improves
581,ghosts,supernatural_elements,is_a
582,psychological_exploration,horror_genre,is_a_part_of
583,storytelling_techniques,writing_quality,contributes_to
584,0061950726,historical_events,depicts
585,0061950726,character_development,explores
586,0061950726,social_issues,addresses
587,0061950726,historical_context,provides
588,0061950726,coming_of_age_stories,features
589,coming_of_age_stories,personal_growth,causes
590,society_and_individuals,social_issues,addresses
591,historical_context,historical_events,provides_context
592,character_development,personal_growth,results_in
593,time_and_change,coming_of_age_stories,is_a_theme_of
594,0061962740,character_development,focuses_on
595,0061962740,dystopian_society,portrays
596,0061962740,writing_style,features
597,0061962740,character_likability,questions
598,0061962740,plot_pacing,affects
599,societal_commentary,dystopian_society,provides_context
600,imagery,dystopian_society,enhances_description
601,character_development,character_likability,influences
602,plot_pacing,writing_style,affects
603,human_emotion,character_development,elicits
604,0061969559,sci_fi_genre,is_a
605,0061969559,character_development,features
606,0061969559,alien_races,introduces
607,0061969559,thrilling_plots,provides
608,0061969559,world_building,requires
609,technological_advancement,cosmic_exploration,enables
610,sci_fi_genre,imaginative_narratives,is_characterized_by
611,world_building,character_development,supports
612,sci_fi_genre,thrilling_plots,requires
613,cosmic_exploration,alien_races,involves
614,0061985848,paranormal_fiction,is_a
615,0061985848,unique_characters,features
616,0061985848,engaging_plot,has
617,0061985848,paranormal_organizations,explores
618,0061985848,character_development,prioritizes
619,paranormal_fiction,engaging_plot,has
620,paranormal_fiction,intriguing_narratives,provides
621,supernatural_elements,paranormal_fiction,is_feature_of
622,character_development,unique_characters,enhances
623,paranormal_organizations,unconventional_worlds,belongs_to
624,0061985856,paranormal_creatures,features
625,0061985856,character_development,focuses_on
626,0061985856,shape_shifting_characters,includes
627,0061985856,paranormal_fiction,is_a_part_of
628,0061985856,engaging_storylines,provides
629,Narrative Structure,engaging_storylines,has_element
630,character_development,Narrative Structure,is_element
631,Supernatural Beings,paranormal_creatures,is_type
632,paranormal_fiction,Narrative Structure,is_genre
633,shape_shifting_characters,Transformation,is_type
634,0061988340,wwii_history,depicts
635,0061988340,survival_story,is_an_example_of
636,0061988340,adventure_story,combines
637,0061988340,historical_context,provides
638,0061988340,realistic_characters,develops
639,Historical Narrative,wwii_history,is_a_part_of
640,historical_context,Historical Narrative,provides_context
641,Personal Struggle,realistic_characters,is_depicted_through
642,adventure_story,survival_story,is_a_type_of
643,Human Experience,historical_narrative,describes
644,0061996165,paranormal_romance,is_a
645,0061996165,character_development,features
646,0061996165,fate_themes,explores
647,0061996165,complex_characters,develops
648,0061996165,engaging_plots,delivers
649,fate_themes,destiny_and_chance,theme
650,psychological_depth,character_development,aspect
651,complex_characters,character_development,feature
652,paranormal_romance,supernatural_love,subgenre
653,engaging_plots,character_development,element
654,0061996173,character_development,features
655,0061996173,engaging_plots,offers
656,0061996173,realistic_relationships,portrays
657,0061996173,supernatural_themes,explores
658,0061996173,character_development,enhances
659,human_emotions,character_development,influences
660,realistic_relationships,character_development,constituent_of
661,engaging_plots,narrative_structure,component_of
662,imaginative_worlds,supernatural_themes,often_associated_with
663,character_development,realistic_relationships,requires
664,0061996181,character_development,depicts
665,0061996181,love_triangle,features
666,0061996181,engaging_plots,delivers
667,0061996181,supernatural_elements,integrates
668,0061996181,emotional_depth,explores
669,fantastical_elements,supernatural_elements,is_a
670,character_development,emotional_exploration,facilitates
671,relationships_and_conflict,love_triangle,is_a_type_of
672,engaging_plots,emotional_depth,enhances
673,emotional_exploration,relationships_and_conflict,is_a_part_of
674,0062001035,fairy_tale_retellings,is
675,0062001035,deep_issues,addresses
676,0062001035,character_development,features
677,0062001035,romantic_elements,includes
678,0062001035,lush_descriptions,offers
679,Exploration_of_Depth,character_development,causes
680,Exploration_of_Depth,deep_issues,explores
681,fairy_tale_retellings,Narrative_Transformations,undergoes
682,Complex_Relationships,romantic_elements,includes
683,lush_descriptions,Narrative_Transformations,enhances
684,0062001817,Greek_mythology,is_based_on
685,0062001817,sister_relationships,explores
686,0062001817,coming_of_age_stories,is_a_genre_of
687,0062001817,character_development,features
688,0062001817,paranormal_elements,includes
689,coming_of_age_stories,character_development,is_a_type_of
690,sister_relationships,family_ties,is_a_type_of
691,Greek_mythology,ancient_legends,is_a_type_of
692,transformation_stories,paranormal_elements,often_includes
693,character_development,coming_of_age_stories,is_a_component_of
694,0062002325,action_packed_plot,has
695,0062002325,kick_ass_lead_female_character,features
696,0062002325,paranormal_elements,includes
697,0062002325,romance_elements,contains
698,0062002325,well_written_narratives,delivers
699,action_packed_plot,thrilling_narratives,is_a
700,kick_ass_lead_female_character,strong_female_characters,is_a
701,supernatural_elements,paranormal_elements,is_a
702,thrilling_narratives,kick_ass_lead_female_character,has_element
703,well_written_narratives,thrilling_narratives,is_a
704,0062003259,Peter_Pan,retelling_of
705,0062003259,character_development,features
706,0062003259,romance,includes
707,0062003259,Jodi_Lynn_Anderson,authored_by
708,0062003259,fairy_tales,belongs_to
709,romance,character_development,influences
